13,Pucacaca
17,Barranquilla
95,Al Buq‘ah
88,Digne-les-Bains
1,Sypniewo
58,Russeifa
71,Czerwieńsk
10,Weichanglu
83,Avranches
71,Cipatat
45,Oujda
70,Jilong
20,Montpellier
86,Āqchah
44,Xinglongjie
99,Nunguan
39,Mirotice
73,Hualingang
44,Pokój
6,Matanza
49,Krajan Karangsari
82,Porlamar
93,Batangtoru
66,Ljusdal
99,Stockholm
85,Duru
25,Ospina
72,Água Preta
62,Nejo
59,‘Attīl
66,Qiaonan
78,Spuž
39,Vilar
1,Yong’an
67,Kalmar
20,Tugulym
90,Sapucaia
98,Derjan
33,Milwaukee
82,Shinkafe
76,Lungmar
17,Uujim
61,Turochak
27,Timbulsari
42,Al Burayqah
72,Massy
24,Fao Rai
21,Qiping
19,Richards Bay
85,Ljubešćica
70,Boyuibe
48,Palama
66,Pira
94,Gendiwu
50,Xucheng
66,Carmo do Paranaíba
71,Yangmaogong
76,Maebashi-shi
76,Hechun
56,Shirokovskiy
4,Liulin
23,Titiakar
30,Radviliskis
74,Bomadi
32,Banyue
35,Poja
64,Dongxiao
50,Pagelaran
2,Nong Yasai
69,Blois
81,Peñal
95,Bol’shoye Selo
35,Aparecida de Goiânia
40,Göteborg
44,Norrköping
22,Haoraoshan
62,Mamfe
77,La Cañada
53,Avignon
39,Boro Utara
70,Lidoríki
62,Mrągowo
43,Mâcon
98,Las Yaras
4,Motala
32,Staffanstorp
92,Cachoeira
47,Štěchovice
29,Chuanxi
16,Taouima
15,Penanggal
33,Ilinden
5,Karanganyar
74,Sallanches
5,Mosteiró
45,Berëzovyy
78,Eldama Ravine
54,Ban Tak
58,Aldeia
24,Massaranduba
