131,602,2019-04-22
21,421,2019-07-16
78,558,2019-12-09
74,838,2019-08-14
81,467,2019-02-27
106,124,2019-12-23
151,445,2019-09-24
140,909,2019-06-12
172,392,2019-08-14
166,94,2019-08-21
4,73,2019-08-01
120,336,2019-07-26
82,645,2018-12-31
7,399,2019-04-01
78,912,2019-01-04
16,95,2019-05-30
29,375,2019-01-03
182,258,2019-12-10
137,929,2019-10-15
126,91,2019-01-17
12,256,2019-05-30
21,124,2019-12-24
9,385,2019-01-26
53,582,2019-11-17
64,221,2019-09-02
14,522,2019-05-20
28,799,2019-06-30
90,844,2019-04-19
193,928,2019-04-11
88,25,2019-09-20
189,642,2019-08-27
90,435,2019-10-22
58,150,2019-01-12
134,659,2019-10-09
89,966,2019-08-10
22,314,2019-10-23
147,461,2019-06-07
120,844,2019-03-14
187,249,2019-07-28
150,87,2019-11-13
13,800,2019-06-01
93,754,2019-03-14
9,171,2019-07-02
185,954,2019-04-23
176,931,2019-08-21
76,597,2019-07-04
61,540,2019-10-23
32,930,2019-02-03
45,272,2019-02-28
27,352,2019-10-22
161,647,2019-01-11
111,285,2019-08-08
121,604,2019-02-18
84,877,2019-10-17
177,940,2019-04-21
193,325,2019-01-08
185,826,2019-06-08
127,652,2019-10-18
44,155,2019-03-30
70,528,2019-11-29
177,113,2019-01-17
153,415,2019-01-24
82,280,2019-02-16
177,611,2019-03-06
76,95,2019-10-01
143,432,2019-08-19
164,222,2019-10-31
53,543,2019-11-24
147,771,2019-09-20
37,748,2019-08-18
48,894,2019-01-21
16,376,2019-06-23
140,58,2019-03-18
200,551,2019-06-29
140,33,2019-06-28
151,112,2019-06-04
12,974,2019-06-23
76,28,2019-09-30
60,356,2019-09-17
47,277,2019-07-10
5,134,2019-06-30
7,773,2019-04-12
34,826,2019-10-20
32,297,2019-06-01
63,438,2019-01-17
35,740,2019-01-15
146,457,2019-08-14
33,143,2019-09-26
166,566,2019-03-15
39,875,2019-06-19
68,508,2019-06-26
110,646,2019-05-20
148,947,2019-04-20
13,261,2019-08-09
69,163,2019-04-08
97,33,2019-02-13
160,711,2019-12-17
80,848,2019-02-14
35,465,2019-12-03
68,438,2019-01-06
194,607,2019-03-17
153,570,2019-05-11
40,689,2019-10-24
86,550,2019-04-14
19,780,2019-05-15
171,726,2019-11-12
131,803,2019-09-19
190,929,2019-05-29
92,807,2019-10-31
131,762,2019-06-09
83,532,2019-04-23
46,172,2019-01-17
187,301,2018-12-31
24,497,2019-08-18
165,250,2019-09-15
88,762,2019-08-04
22,520,2019-10-05
154,49,2019-09-13
68,184,2019-03-05
193,233,2019-10-27
62,193,2019-12-14
97,453,2019-07-08
154,968,2019-11-23
69,187,2019-08-22
173,836,2019-04-30
94,866,2019-06-18
173,191,2019-08-19
164,440,2019-05-02
113,217,2019-07-09
49,560,2019-10-11
11,77,2019-11-24
142,853,2019-05-14
128,447,2019-04-04
179,372,2019-03-10
71,186,2019-04-26
151,119,2019-06-12
133,307,2019-06-29
12,836,2019-09-13
53,835,2019-11-13
54,502,2019-11-29
177,586,2019-10-09
109,489,2019-12-14
159,684,2019-06-26
72,853,2019-11-20
23,110,2019-07-17
191,61,2019-04-03
118,649,2019-02-11
115,53,2019-07-14
88,474,2019-02-24
141,963,2019-05-24
79,794,2019-03-27
92,402,2019-09-19
79,592,2019-08-27
93,747,2019-11-19
179,161,2019-06-06
14,943,2019-01-19
151,871,2019-01-11
29,687,2019-08-26
91,423,2019-11-16
185,542,2019-07-22
189,808,2019-09-22
57,348,2019-09-27
130,586,2019-08-20
4,163,2019-04-09
52,969,2019-05-25
60,291,2019-03-10
186,305,2019-01-15
28,319,2019-08-25
90,760,2019-03-31
90,260,2019-12-13
1,384,2019-11-14
16,122,2019-08-19
183,166,2019-08-27
153,111,2019-04-18
51,350,2019-03-02
146,923,2019-03-02
186,216,2019-12-26
24,969,2019-11-06
154,279,2019-01-25
180,338,2018-12-30
110,505,2019-03-27
179,148,2019-06-09
14,200,2019-11-06
112,381,2019-07-01
5,451,2019-01-18
141,841,2019-05-03
191,75,2019-03-08
180,265,2019-08-26
110,324,2019-04-17
12,478,2019-11-25
119,628,2019-05-18
183,1,2019-09-12
135,730,2019-09-02
148,920,2019-11-20
49,869,2019-05-08
38,212,2019-03-25
193,172,2019-11-30
22,572,2019-09-12
8,695,2019-04-18
139,576,2019-04-10
155,384,2019-01-05
3,641,2019-01-05
138,846,2019-01-27
31,194,2019-04-15
103,276,2019-05-20
32,465,2019-06-25
22,506,2019-08-01
124,136,2019-02-24
158,870,2019-01-13
147,308,2019-01-26
111,453,2019-10-24
11,73,2019-05-31
143,254,2019-03-08
147,277,2019-02-09
30,326,2019-10-23
86,26,2019-05-05
35,958,2019-02-22
76,561,2018-12-29
132,872,2019-08-30
4,790,2019-06-11
16,632,2019-01-21
182,8,2019-02-22
56,658,2019-02-16
84,451,2019-02-17
35,148,2019-05-07
138,869,2019-11-05
7,833,2019-06-22
3,783,2019-10-01
47,281,2019-03-29
105,77,2019-02-17
197,243,2019-09-21
168,589,2019-09-19
36,872,2019-04-03
21,658,2019-05-19
69,29,2019-03-30
104,595,2019-08-01
60,734,2019-05-26
91,558,2019-10-07
63,818,2019-07-03
159,468,2019-08-10
118,382,2019-09-09
94,196,2019-05-08
165,482,2019-05-01
18,613,2019-12-15
91,760,2019-02-09
107,381,2019-10-11
192,427,2019-06-27
90,416,2019-07-12
56,969,2019-03-07
39,125,2019-09-05
200,304,2019-01-06
72,173,2019-11-03
21,586,2019-09-15
188,883,2019-11-16
199,305,2019-12-05
52,194,2019-08-07
113,683,2019-05-16
177,390,2019-09-25
166,516,2019-04-19
59,874,2019-11-16
32,955,2019-05-31
196,822,2019-08-02
38,327,2019-01-08
188,33,2019-02-13
143,427,2019-09-17
104,167,2019-08-02
28,955,2019-04-07
12,303,2019-05-13
81,135,2019-04-25
91,152,2019-02-14
128,97,2019-09-05
67,480,2019-09-09
172,7,2019-03-20
157,325,2019-07-01
136,921,2019-05-15
132,3,2019-06-21
189,2,2019-01-10
144,864,2019-09-27
38,221,2019-02-03
141,779,2019-04-11
165,167,2019-03-31
191,876,2019-02-19
126,348,2019-01-14
175,847,2019-12-10
144,836,2019-04-16
101,19,2019-09-18
113,958,2019-03-21
147,460,2019-12-19
143,245,2019-06-24
197,438,2019-11-06
78,294,2019-02-27
57,172,2019-10-06
21,314,2019-07-18
26,921,2019-03-11
23,247,2019-10-14
173,258,2019-05-31
38,41,2019-03-11
120,626,2019-12-02
11,661,2019-02-22
173,441,2019-08-22
