58,Autumn Leaf,36
86,Gerald,6
87,Service,3
66,Forest,55
39,Pine View,4761
9,Morrow,4
60,Vermont,24
70,Lawn,063
36,Kropf,3
10,Bluejay,25832
20,Loeprich,6
91,Nova,912
47,Thierer,54497
81,Westerfield,0
53,Golf Course,1
37,Pierstorff,246
34,Stuart,141
52,Melvin,5
94,Artisan,3
73,Kingsford,3776
41,Towne,696
23,Bay,5
60,Manitowish,8788
12,Montana,3
76,Center,6040
81,Mifflin,937
97,Oak Valley,1
52,Blue Bill Park,8197
52,Muir,0570
71,Toban,123
52,Ridge Oak,817
3,Pepper Wood,39
4,Rutledge,88257
29,Prairieview,8
1,Elka,92238
22,Sycamore,7
35,Veith,66798
27,Thompson,2552
34,Florence,16
80,Raven,073
43,Fieldstone,18
55,Warbler,91
86,Corry,87595
57,American,42
56,Upham,85
19,Grover,4078
94,Starling,4
28,Algoma,0342
19,Grover,1
59,Larry,23602
37,Shelley,43377
63,Farragut,2635
53,Drewry,05150
40,Dovetail,5
13,Gerald,75
70,Parkside,8941
28,Bay,30
35,Melby,17708
77,Mockingbird,53
67,Nova,3
19,Talmadge,106
39,Mariners Cove,03850
31,Center,81
46,Tony,902
6,Hansons,03420
83,Utah,8325
21,Hagan,752
60,Fulton,14152
73,Superior,08
57,Reindahl,19
33,Sullivan,2027
32,Bluestem,6
34,Lyons,980
64,Hoffman,7
58,Bowman,25614
37,Saint Paul,4802
65,Mesta,5
43,Laurel,8760
80,Lerdahl,92524
81,Bashford,5782
4,Texas,422
56,Badeau,7
4,Lunder,4
44,Moulton,45823
93,Pawling,0
13,Spohn,3
3,Stuart,5062
64,Bay,12348
95,Randy,8228
43,Sherman,5
18,Bluejay,28
46,Westport,597
19,Sachs,53577
96,Hintze,17
27,Sugar,7274
36,Glendale,8711
6,Bartillon,434
94,Buena Vista,0
73,Cordelia,892
